date,contest_number,word,number_of_reported_results,number_in_hard_mode,1_try,2_tries,3_tries,4_tries,5_tries,6_tries,7_or_more_tries_x,sum,num_rare_letters,starts_with_vowel,ends_with_vowel,num_consonants,contains_y,has_double_letter,max_consecutive_vowels,max_consecutive_consonants,scrabble_score,letter_entropy,position_rarity,keyboard_distance,hamming_neighbors,has_common_suffix,has_common_prefix,letter_freq_mean,letter_freq_min,positional_freq_mean,positional_freq_min,semantic_neighbors_count,semantic_density,Zipf-value,autoencoder_value,expected_attempts,semantic_difficulty,mean_simulate,1_try_simulate,2_try_simulate,3_try_simulate,4_try_simulate,5_try_simulate,6_try_simulate,7_try_simulate,position_self_information,positional_fit,letter_commonness,position_self_information_2_letters,mean_simulate_random,1_try_simulate_random,2_try_simulate_random,3_try_simulate_random,4_try_simulate_random,5_try_simulate_random,6_try_simulate_random,7_try_simulate_random,mean_simulate_freq,1_try_simulate_freq,2_try_simulate_freq,3_try_simulate_freq,4_try_simulate_freq,5_try_simulate_freq,6_try_simulate_freq,7_try_simulate_freq
2022/12/31,560,manly,20380,1899,0,2,17,37,29,12,2,99,0,0,0,4,1,0,1,3,10,2.321928094887362,12.66454525288376,4.376584341056941,6,1,0,0.052924791,0.030640669,0.091364903,0.055710306,0,0.3500349193811417,3.607804487601378,-0.406941414,4.42,0.7266581800932536,5.0143,0.0003,0.0112,0.0923,0.2372,0.309,0.2291,0.1209,17.48150939508817,9.788,4.666,-28.44609982449141,5.6184,0.0001,0.006,0.0545,0.1576,0.2279,0.2044,0.3495,4.8386,0.0002,0.0175,0.126,0.2898,0.2683,0.1627,0.1355
2022/12/30,559,molar,21204,1973,0,4,21,38,26,9,1,99,0,0,0,3,0,0,1,1,7,2.321928094887362,17.34317851871932,3.747676196228642,8,0,0,0.066072423,0.030640669,0.081337047,0.025069638,0,0.3292781025171279,2.723197906303447,-0.631225586,4.2,0.8635368086874273,4.5907,0.0001,0.0136,0.1224,0.3293,0.3571,0.149,0.0285,17.900797767311985,8.588,5.622,-31.36063541830188,5.3895,0.0,0.0089,0.07,0.1962,0.2471,0.2032,0.2746,4.635,0.0001,0.0169,0.1417,0.3161,0.2991,0.1666,0.0595
2022/12/29,558,havoc,20001,1919,0,2,16,38,30,12,2,100,1,0,0,3,0,0,1,1,13,2.321928094887362,35.58163547237077,4.967999446909911,0,0,0,0.051030641,0.013927577,0.049582173,0.013927577,1,0.4026756227016449,3.136932182158717,-0.3816728,4.4399999999999995,-0.053033299,4.5827,0.0002,0.0139,0.1291,0.3437,0.324,0.1511,0.038,22.992499436752713,5.976,5.106,-23.93974921702946,5.0688,0.0,0.0077,0.0734,0.2501,0.3184,0.212,0.1384,4.4407,0.0002,0.023,0.1652,0.3652,0.2889,0.1089,0.0486
2022/12/28,557,impel,20160,1937,0,3,21,40,25,9,1,99,0,1,0,3,0,0,1,2,9,2.321928094887362,28.93667220376523,4.731095446,1,0,0,0.057604457,0.030640669,0.054038997,0.016713092,0,0.334106445,1.893894133472422,-0.623626411,4.21,0.8316968139260492,4.2201,0.0002,0.0167,0.195,0.4325,0.2728,0.0721,0.0107,24.929017543614812,5.026,5.608,-23.06170870466062,4.596,0.0,0.0116,0.1173,0.3473,0.3511,0.1327,0.04,4.4061,0.0,0.0122,0.1524,0.3939,0.324,0.0936,0.0239
2022/12/27,556,condo,20879,2012,0,2,17,35,29,14,3,100,0,0,1,3,0,0,1,2,8,1.921928094887362,22.20761257071999,4.793786696566837,6,0,0,0.053370474,0.030083565,0.070194986,0.022284123,0,0.4083532214164734,3.626287893295391,-0.326173782,4.51,0.3420843190415425,5.3824,0.0002,0.0077,0.0575,0.1829,0.28,0.2392,0.2325,18.96475524096079,6.968,5.76,-30.643694448223712,5.7552,0.0,0.0044,0.0385,0.1299,0.2223,0.2345,0.3704,4.5998,0.0,0.0122,0.1166,0.3381,0.3553,0.1479,0.0299
2022/12/26,555,judge,20011,2043,0,2,8,16,26,33,14,99,1,0,1,3,0,0,1,2,14,2.321928094887362,51.57792438893365,2.339793400779363,7,0,0,0.039777159,0.002228412,0.066852368,0.005571031,4,0.4898119121789932,4.900787841420323,0.5876120924949646,5.52,-1.199454819,5.4508,0.0001,0.0082,0.0646,0.1752,0.2457,0.2322,0.274,22.228709432888397,6.18,4.376,-24.57731633439031,5.6599,0.0001,0.0038,0.0469,0.145,0.2296,0.2387,0.3359,4.4415,0.0003,0.013,0.1393,0.3842,0.3378,0.1063,0.0191
2022/12/25,554,extra,15554,1562,1,5,20,35,28,10,1,100,1,1,1,3,0,0,1,3,12,2.321928094887362,37.51671676982021,2.500974228,0,0,0,0.068412256,0.003899721,0.036768802,0.013927577,0,0.4504649847745895,4.771553377584031,-0.610804558,4.199999999999999,0.064382759,4.4271,0.0,0.0136,0.1286,0.3983,0.3492,0.0972,0.0131,24.8906941053018,4.686,7.214,-21.84793629095173,4.9839,0.0,0.0065,0.0653,0.2517,0.3815,0.2043,0.0907,4.2937,0.0001,0.0201,0.1691,0.407,0.3208,0.0662,0.0167
2022/12/24,553,poise,20281,1911,2,11,34,32,15,6,1,101,0,0,1,2,0,0,2,1,7,2.321928094887362,10.40859845697985,2.374244023167829,6,0,0,0.06362117,0.035654596,0.1186629526462396,0.061281337,0,0.422457692,3.047708997816951,-1.133117557,3.709999999999999,0.2490738826689307,4.756,0.0,0.0137,0.1265,0.2954,0.2989,0.1855,0.08,18.585161265284835,9.28,7.088,-27.725824508614167,5.1876,0.0001,0.0055,0.0783,0.2276,0.2832,0.2219,0.1834,4.812,0.0002,0.0145,0.1163,0.2786,0.3098,0.1937,0.0869
2022/12/23,552,aorta,21937,2112,0,7,26,35,20,10,3,101,0,1,1,2,0,0,2,2,5,1.921928094887362,18.19916588857765,4.546340843479053,3,0,0,0.079665738,0.072423398,0.075208914,0.025069638,0,0.3917654007673263,3.189461233434901,-0.715320826,4.15,0.4514709440089663,4.9779,0.0001,0.0095,0.0958,0.2546,0.3111,0.2048,0.1241,16.969722179669237,9.184,7.78,-25.196202577853295,5.6225,0.0,0.0053,0.0548,0.1699,0.213,0.1961,0.3609,4.8352,0.0003,0.0119,0.108,0.2926,0.3031,0.1875,0.0966
2022/12/22,551,excel,20490,2034,0,1,13,34,34,15,2,99,1,1,0,3,0,0,1,2,14,1.921928094887362,34.17921188630491,2.829707626949502,1,0,0,0.062172702,0.003899721,0.050696379,0.013927577,0,0.2967142134904861,2.871617739,-0.231295347,4.59,1.0782759231123975,4.7725,0.0003,0.0102,0.0959,0.2983,0.3521,0.192,0.0512,25.945413545321045,4.984,6.472,-19.620420313190053,5.1676,0.0001,0.0059,0.0547,0.2144,0.3383,0.2637,0.1229,4.4639,0.0001,0.0177,0.1405,0.3608,0.3353,0.132,0.0136
