date,contest_number,word,number_of_reported_results,number_in_hard_mode,1_try,2_tries,3_tries,4_tries,5_tries,6_tries,7_or_more_tries_x,sum,num_rare_letters,starts_with_vowel,ends_with_vowel,num_consonants,contains_y,has_double_letter,max_consecutive_vowels,max_consecutive_consonants,scrabble_score,letter_entropy,position_rarity,keyboard_distance,hamming_neighbors,has_common_suffix,has_common_prefix,letter_freq_mean,letter_freq_min,positional_freq_mean,positional_freq_min,semantic_neighbors_count,semantic_density,Zipf-value,autoencoder_value,expected_attempts,semantic_difficulty,position_self_entropy,positional_fit,letter_commonness,position_self_entropy_2_letters,mean_simulate_random,1_try_simulate_random,2_try_simulate_random,3_try_simulate_random,4_try_simulate_random,5_try_simulate_random,6_try_simulate_random,7_try_simulate_random,mean_simulate_freq,1_try_simulate_freq,2_try_simulate_freq,3_try_simulate_freq,4_try_simulate_freq,5_try_simulate_freq,6_try_simulate_freq,7_try_simulate_freq,mean_simulate_entropy,1_try_simulate_entropy,2_try_simulate_entropy,3_try_simulate_entropy,4_try_simulate_entropy,5_try_simulate_entropy,6_try_simulate_entropy,7_try_simulate_entropy,rl_1_try_low_training,rl_2_try_low_training,rl_3_try_low_training,rl_4_try_low_training,rl_5_try_low_training,rl_6_try_low_training,rl_7_try_low_training,rl_expected_steps_low_training,rl_1_try_high_training,rl_2_try_high_training,rl_3_try_high_training,rl_4_try_high_training,rl_5_try_high_training,rl_6_try_high_training,rl_7_try_high_training,rl_expected_steps_high_training,semantic_distance,semantic_distance_to_center,rl_1_try_little_training,rl_2_try_little_training,rl_3_try_little_training,rl_4_try_little_training,rl_5_try_little_training,rl_6_try_little_training,rl_7_try_little_training,rl_expected_steps_little_training,feedback_entropy,position_self_information,position_self_information_2_letters
2022/12/31,560,manly,20380,1899,0,2,17,37,29,12,2,99,0,0,0,4,1,0,1,3,10,2.321928094887362,12.66454525288376,4.376584341056941,6,1,0,0.052924791,0.030640669,0.091364903,0.055710306,0,0.3500349193811417,3.607804487601378,-0.406941414,4.42,0.7266581800932536,17.48150939508817,9.788,4.666,-28.44609982449141,5.6184,0.0001,0.006,0.0545,0.1576,0.2279,0.2044,0.3495,4.8386,0.0002,0.0175,0.126,0.2898,0.2683,0.1627,0.1355,4.426,0.0,0.012,0.122,0.403,0.358,0.101,0.004,0.0,0.118,0.382,0.332,0.138,0.028,0.002,3.582,0.0,0.126,0.672,0.2,0.002,0.0,0.0,3.0779999999999994,0.0036664709149235,6.52542654886245,0.0,0.132,0.366,0.35,0.128,0.022,0.002,3.5479999999999996,4.9466707272530295,1.5654634390384548,-10596.526192915742
2022/12/30,559,molar,21204,1973,0,4,21,38,26,9,1,99,0,0,0,3,0,0,1,1,7,2.321928094887362,17.34317851871932,3.747676196228642,8,0,0,0.066072423,0.030640669,0.081337047,0.025069638,0,0.3292781025171279,2.723197906303447,-0.631225586,4.2,0.8635368086874273,17.900797767311985,8.588,5.622,-31.36063541830188,5.3895,0.0,0.0089,0.07,0.1962,0.2471,0.2032,0.2746,4.635,0.0001,0.0169,0.1417,0.3161,0.2991,0.1666,0.0595,3.99,0.0,0.032,0.302,0.369,0.24,0.055,0.002,0.0,0.102,0.4,0.35,0.132,0.014,0.002,3.5620000000000003,0.0,0.032,0.318,0.636,0.014,0.0,0.0,3.632,0.0326000331329866,8.467040176854184,0.0,0.11,0.382,0.362,0.13,0.014,0.002,3.562,5.277828249827812,1.509088564159594,-7265.154146832221
2022/12/29,558,havoc,20001,1919,0,2,16,38,30,12,2,100,1,0,0,3,0,0,1,1,13,2.321928094887362,35.58163547237077,4.967999446909911,0,0,0,0.051030641,0.013927577,0.049582173,0.013927577,1,0.4026756227016449,3.136932182158717,-0.3816728,4.4399999999999995,-0.053033299,22.992499436752713,5.976,5.106,-23.93974921702946,5.0688,0.0,0.0077,0.0734,0.2501,0.3184,0.212,0.1384,4.4407,0.0002,0.023,0.1652,0.3652,0.2889,0.1089,0.0486,4.466,0.0,0.009,0.091,0.414,0.398,0.087,0.001,0.002,0.126,0.346,0.346,0.152,0.028,0.0,3.604,0.002,0.028,0.368,0.566,0.036,0.0,0.0,3.606,-0.0400717895142758,6.983014440703774,0.002,0.122,0.352,0.35,0.16,0.014,0.0,3.586,4.2357381764456274,1.0976783008062048,-3528.1798976040054
2022/12/28,557,impel,20160,1937,0,3,21,40,25,9,1,99,0,1,0,3,0,0,1,2,9,2.321928094887362,28.93667220376523,4.731095446,1,0,0,0.057604457,0.030640669,0.054038997,0.016713092,0,0.334106445,1.893894133472422,-0.623626411,4.21,0.8316968139260492,24.929017543614812,5.026,5.608,-23.06170870466062,4.596,0.0,0.0116,0.1173,0.3473,0.3511,0.1327,0.04,4.4061,0.0,0.0122,0.1524,0.3939,0.324,0.0936,0.0239,4.131,0.0,0.005,0.159,0.546,0.28,0.01,0.0,0.004,0.14,0.358,0.356,0.126,0.016,0.0,3.508,0.002,0.028,0.334,0.57,0.066,0.0,0.0,3.67,0.0945305850789795,6.068421357118058,0.002,0.128,0.368,0.354,0.122,0.026,0.0,3.544,4.5007694601578425,0.8924045900637422,-2481.759799587033
2022/12/27,556,condo,20879,2012,0,2,17,35,29,14,3,100,0,0,1,3,0,0,1,2,8,1.921928094887362,22.20761257071999,4.793786696566837,6,0,0,0.053370474,0.030083565,0.070194986,0.022284123,0,0.4083532214164734,3.626287893295391,-0.326173782,4.51,0.3420843190415425,18.96475524096079,6.968,5.76,-30.643694448223712,5.7552,0.0,0.0044,0.0385,0.1299,0.2223,0.2345,0.3704,4.5998,0.0,0.0122,0.1166,0.3381,0.3553,0.1479,0.0299,4.274,0.0,0.003,0.096,0.546,0.334,0.021,0.0,0.0,0.096,0.46,0.342,0.094,0.008,0.0,3.458,0.0,0.014,0.642,0.338,0.006,0.0,0.0,3.336,-0.0075636263855395,6.873645768814199,0.0,0.116,0.428,0.37,0.08,0.006,0.0,3.432,4.0379164871590625,1.39378356457077,-7253.5358029939525
2022/12/26,555,judge,20011,2043,0,2,8,16,26,33,14,99,1,0,1,3,0,0,1,2,14,2.321928094887362,51.57792438893365,2.339793400779363,7,0,0,0.039777159,0.002228412,0.066852368,0.005571031,1,0.4898119121789932,4.900787841420323,0.5876120924949646,5.52,-1.199454819,22.228709432888397,6.18,4.376,-24.57731633439031,5.6599,0.0001,0.0038,0.0469,0.145,0.2296,0.2387,0.3359,4.4415,0.0003,0.013,0.1393,0.3842,0.3378,0.1063,0.0191,4.138,0.0,0.005,0.098,0.652,0.244,0.001,0.0,0.002,0.084,0.322,0.39,0.184,0.014,0.004,3.728,0.0,0.008,0.872,0.074,0.044,0.002,0.0,3.1599999999999997,-0.111001290406731,8.16717887742859,0.002,0.084,0.302,0.406,0.182,0.022,0.002,3.756,3.6861439361647967,1.0867002901725216,-2088.6717849451825
2022/12/25,554,extra,15554,1562,1,5,20,35,28,10,1,100,1,1,1,3,0,0,1,3,12,2.321928094887362,37.51671676982021,2.500974228,0,0,0,0.068412256,0.003899721,0.036768802,0.013927577,0,0.4504649847745895,4.771553377584031,-0.610804558,4.199999999999999,0.064382759,24.8906941053018,4.686,7.214,-21.84793629095173,4.9839,0.0,0.0065,0.0653,0.2517,0.3815,0.2043,0.0907,4.2937,0.0001,0.0201,0.1691,0.407,0.3208,0.0662,0.0167,4.102,0.0,0.007,0.165,0.553,0.269,0.006,0.0,0.0,0.072,0.276,0.31,0.192,0.098,0.052,4.1240000000000006,0.002,0.008,0.88,0.086,0.018,0.004,0.002,3.129999999999999,-0.1023962011970983,7.042220271966423,0.002,0.074,0.276,0.3,0.204,0.09,0.054,4.116,4.590236488196429,0.989021125308054,-2554.3399106168586
2022/12/24,553,poise,20281,1911,2,11,34,32,15,6,1,101,0,0,1,2,0,0,2,1,7,2.321928094887362,10.40859845697985,2.374244023167829,6,0,0,0.06362117,0.035654596,0.1186629526462396,0.061281337,0,0.422457692,3.047708997816951,-1.133117557,3.709999999999999,0.2490738826689307,18.585161265284835,9.28,7.088,-27.725824508614167,5.1876,0.0001,0.0055,0.0783,0.2276,0.2832,0.2219,0.1834,4.812,0.0002,0.0145,0.1163,0.2786,0.3098,0.1937,0.0869,4.633,0.0,0.018,0.137,0.287,0.352,0.164,0.042,0.006,0.128,0.434,0.316,0.108,0.008,0.0,3.4160000000000004,0.0,0.576,0.414,0.01,0.0,0.0,0.0,2.434,0.0348329648716154,6.361677781884448,0.004,0.132,0.432,0.318,0.106,0.008,0.0,3.4140000000000006,5.2104950027786945,1.4450064612067155,-3714.218553448415
2022/12/23,552,aorta,21937,2112,0,7,26,35,20,10,3,101,0,1,1,2,0,0,2,2,5,1.921928094887362,18.19916588857765,4.546340843479053,3,0,0,0.079665738,0.072423398,0.075208914,0.025069638,0,0.3917654007673263,3.189461233434901,-0.715320826,4.15,0.4514709440089663,16.969722179669237,9.184,7.78,-25.196202577853295,5.6225,0.0,0.0053,0.0548,0.1699,0.213,0.1961,0.3609,4.8352,0.0003,0.0119,0.108,0.2926,0.3031,0.1875,0.0966,4.467,0.0,0.003,0.097,0.406,0.421,0.07,0.003,0.008,0.13,0.378,0.36,0.104,0.02,0.0,3.482,0.0,0.016,0.148,0.83,0.006,0.0,0.0,3.826,0.0413127601842674,7.474883377576407,0.01,0.144,0.358,0.354,0.098,0.034,0.002,3.4959999999999996,5.151551100241539,1.623861547854558,-6092.965772937943
2022/12/22,551,excel,20490,2034,0,1,13,34,34,15,2,99,1,1,0,3,0,0,1,2,14,1.921928094887362,34.17921188630491,2.829707626949502,1,0,0,0.062172702,0.003899721,0.050696379,0.013927577,0,0.2967142134904861,2.871617739,-0.231295347,4.59,1.0782759231123975,25.945413545321045,4.984,6.472,-19.620420313190053,5.1676,0.0001,0.0059,0.0547,0.2144,0.3383,0.2637,0.1229,4.4639,0.0001,0.0177,0.1405,0.3608,0.3353,0.132,0.0136,4.599,0.0,0.008,0.077,0.332,0.478,0.101,0.004,0.002,0.072,0.374,0.428,0.124,0.0,0.0,3.5999999999999996,0.0,0.006,0.068,0.892,0.03,0.004,0.0,3.958,0.0006738801198881,6.516249909035123,0.004,0.094,0.364,0.432,0.104,0.002,0.0,3.544,3.4621887697205174,0.9003617408407307,-2075.8052314237875
